Account,الحساب
Create Bill,إنشاء فاتورة
Create New Item,إنشاء صنف جديد
Create Purchase Order,إنشاء أمر شراء
Create Return,إنشاء إرجاع
Create Supplier,إنشاء مورد
Create items,إنشاء أصناف
Create suppliers,إنشاء موردين
Credit Note,إشعار دائن
Credit Note {0} has no remaining balance to allocate.,إشعار دائن {0} ليس لديه رصيد متبقي للتخصيص.
Credit Outstanding,الائتمان المستحق
Credit and Output,الائتمان والمخرجات
Credit note {0} is already fully allocated,إشعار دائن {0} مخصص بالكامل بالفعل
Credit note {0} still has an unapplied balance of {1},إشعار دائن {0} لا يزال لديه رصيد غير مطبق {1}
Credit sales remaining to be collected,المبيعات الائتمانية المتبقية للتحصيل
Critical,حرج
Currency,العملة
Currency is required,العملة مطلوبة
Current,الحالي
Current Event Loop Lag:,تأخير حلقة الأحداث الحالية:
Current Month,الشهر الحالي
Current Profile,الملف الشخصي الحالي
Current User,المستخدم الحالي
Customer Details,تفاصيل العميل
Customer Report,تقرير العميل
Customer Screen,شاشة العميل
Customer already exists,العميل موجود بالفعل
Customer already selected,العميل محدد بالفعل
Customer display channel is missing,قناة شاشة العميل مفقودة
Customer is required,العميل مطلوب
Customer is required to add payment,العميل مطلوب لإضافة الدفع
Customer not selected,العميل غير محدد
Customers,العملاء
Daily Sales,المبيعات اليومية
Daily Sales Summary,ملخص المبيعات اليومية
Data loaded in form. Review and submit.,تم تحميل البيانات في النموذج. المراجعة والإرسال.
Day Δ,يوم Δ
Day-wise (MTD),يومياً (منذ بداية الشهر)
Day-wise Movement,الحركة اليومية
Dead Stock,المخزون الميت
Dead Stock Items,أصناف المخزون الميت
Decrease quantity,تقليل الكمية
Default,افتراضي
Default Rate is required,السعر الافتراضي مطلوب
Delete,حذف
Delete Draft,حذف المسودة
Deleting cancelled cash movements is disabled for this POS Profile.,حذف حركات النقد الملغاة معطل لملف نقاط البيع هذا.
Delivery Charges,رسوم التسليم
Deposit,إيداع
Detailed Supplier Breakdown,تفصيل المورد المفصل
Detecting formats:,جارٍ اكتشاف التنسيقات:
Device Memory:,ذاكرة الجهاز:
Difference (In Company Currency),الفرق (بعملة الشركة)
Difference:,الفرق:
Disconnect,قطع الاتصال
Discount,خصم
Discount / Void / Return Report,تقرير الخصم/الإلغاء/الإرجاع
Discount limited by POS Profile,الخصم محدود بملف نقاط البيع
Discounted Invoices,الفواتير المخصومة
Discounts,الخصومات
Dismiss,رفض
Download Certificate,تحميل الشهادة
Draft invoice deleted,تم حذف الفاتورة المسودة
Drafts,المسودات
Duplicate,تكرار
Edit discount amount,تعديل مبلغ الخصم
Edit discount percentage,تعديل نسبة الخصم
Edit item name,تعديل اسم الصنف
Edit quantity,تعديل الكمية
Edit rate,تعديل السعر
Edit unit of measure,تعديل وحدة القياس
Edited,تم التعديل
Enable Customer Display in POS Profile first.,تفعيل شاشة العميل في ملف نقاط البيع أولاً.
Enable background sync,تفعيل المزامنة في الخلفية
Enter Quantity,إدخال الكمية
Enter a valid grams value,إدخال قيمة جرام صالحة
Enter new price list rate,إدخال سعر قائمة الأسعار الجديد
Enter valid grams for scale barcode,إدخال جرام صالحة لباركود الميزان
Entries,إدخالات
Error accessing camera:,خطأ في الوصول إلى الكاميرا:
Error in change calculations!,خطأ في حسابات التغيير!
Error loading invoice details,خطأ في تحميل تفاصيل الفاتورة
Error processing invoice,خطأ في معالجة الفاتورة
Error submitting invoice:,خطأ في إرسال الفاتورة:
Error updating currency,خطأ في تحديث العملة
Est. Purchase,تقدير الشراء
Est. Value,القيمة المقدرة
Every,كل
Exchange Rate,سعر الصرف
Expected Amount (In Company Currency),المبلغ المتوقع (بعملة الشركة)
Expected Cash,النقد المتوقع
Expected cash on hand grouped by currency,النقد المتوقع في اليد مجمعاً حسب العملة
Expected vs Actual,المتوقع مقابل الفعلي
Expense,مصروف
Expense Account (Optional Override),حساب المصروفات (تجاوز اختياري)
Expense Account is required for expense entries.,حساب المصروفات مطلوب لإدخالات المصروفات.
Expense account is required for POS Expense.,حساب المصروفات مطلوب لمصروفات نقاط البيع.
Expense account is required.,حساب المصروفات مطلوب.
Expense target account must match Expense Account.,حساب المصروفات المستهدف يجب أن يتطابق مع حساب المصروفات.
Expenses and deposits posted during this shift,المصروفات والإيداعات المنشورة خلال هذه الوردية
Expired,منتهي الصلاحية
Failed to auto reconcile payments.,فشل في مطابقة المدفوعات تلقائياً.
Failed to cancel cash movement,فشل في إلغاء حركة النقد
Failed to create item,فشل في إنشاء الصنف
Failed to create supplier,فشل في إنشاء المورد
Failed to delete cash movement,فشل في حذف حركة النقد
Failed to generate scale barcode. Using item barcode only.,فشل في إنشاء باركود الميزان. استخدام باركود الصنف فقط.
Failed to load cash movement context.,فشل في تحميل سياق حركة النقد.
Failed to load dashboard data.,فشل في تحميل بيانات لوحة المعلومات.
Failed to reconcile Credit Note {0}: {1},فشل في مطابقة إشعار دائن {0}: {1}
Failed to reconcile Journal Entry {0}: {1},فشل في مطابقة القيد اليومي {0}: {1}
Failed to reconcile Payment Entry {0}: {1},فشل في مطابقة قيد الدفع {0}: {1}
Failed to reload invoice from server,فشل في إعادة تحميل الفاتورة من الخادم
Failed to submit cash movement,فشل في تقديم حركة النقد
Failed to sync offline cash movements,فشل في مزامنة حركات النقد في وضع عدم الاتصال
Fast Moving Items,أصناف سريعة الحركة
Fees,الرسوم
Finance,المالية
Fixing payment amounts for return invoice...,جارٍ تصحيح مبالغ الدفع لفاتورة الإرجاع...
Free,مجاني
Free Qty,الكمية المجانية
Frequency,التكرار
From Date,من تاريخ
Fulfillment Details,تفاصيل التنفيذ
Generate Certificate,إنشاء شهادة
Go to Frappe Desk,الذهاب إلى سطح مكتب Frappe
Gross Margin,هامش إجمالي
Gross Profit,ربح إجمالي
Gross Sales,المبيعات الإجمالية
Grouped totals for each payment method and currency,المجاميع المجمعة لكل طريقة دفع والعملة
High,عالي
History,السجل
Hourly (Today),كل ساعة (اليوم)
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,استيراد الشهادة إلى QZ Tray وإعادة تشغيل QZ Tray على كل جهاز نقاط بيع.
In,داخل
Include Batch / Serial,تضمن الدفعة/الرقم التسلسلي
Include Price,تضمن السعر
Increase quantity,زيادة الكمية
Invalid Opening Entry,إدخال فتح غير صالح
Invalid POS Opening Shift data provided.,بيانات وردية فتح نقاط البيع المقدمة غير صالحة.
Invalid movement type for journal entry.,نوع الحركة غير صالح للقيد اليومي.
Invalid movement type.,نوع الحركة غير صالح.
Invalid payload for cash movement.,الحمولة غير صالحة لحركة النقد.
Invalid posting date.,تاريخ النشر غير صالح.
Invalid rate,سعر غير صالح
Invalid {0} filter,عامل تصفية {0} غير صالح
Inventory,المخزون
Inventory Status Report,تقرير حالة المخزون
Invoice Adjustments,تعديلات الفاتورة
Invoice Change,تغيير الفاتورة
Invoice Details,تفاصيل الفاتورة
Invoice Items,أصناف الفاتورة
Invoice Management,إدارة الفاتورة
Invoice Mgmt,إدارة الفاتورة
Invoice Submission Failed,فشل إرسال الفاتورة
Invoice Submitted,تم إرسال الفاتورة
Invoice is still in draft after background submission.,الفاتورة لا تزال في مسودة بعد الإرسال في الخلفية.
Invoice submission failed,فشل إرسال الفاتورة
Invoice {0} does not exist,الفاتورة {0} غير موجودة
Invoices already past due date,الفواتير التي تجاوزت تاريخ الاستحقاق
Invoices saved as POS Invoices,الفواتير المحفوظة كفواتير نقاط البيع
Invoices still carrying balances,الفواتير التي لا تزال تحمل أرصدة
Item / Product Sales Report,تقرير مبيعات الصنف/المنتج
Item Code and Price List are required,كود الصنف وسعر قائمة الأسعار مطلوبان
Item Name,اسم الصنف
Item Price has been added or updated,تم إضافة أو تحديث سعر الصنف
Item Search,بحث الصنف
Item Selector,محدد الأصناف
Item code is required.,كود الصنف مطلوب.
Item created successfully,تم إنشاء الصنف بنجاح
Item is out of stock,الصنف غير متوفر في المخزون
Item-wise Profitability,ربحية حسب الصنف
Items Sold,الأصناف المباعة
Items added in POS will appear here automatically.,ستظهر الأصناف المضافة في نقاط البيع هنا تلقائياً.
Items added to invoice,الأصناف المضافة إلى الفاتورة
Items/Invoice,أصناف/فاتورة
Journal Entry,القيد اليومي
Journal Entry {0} has no unallocated amount remaining.,القيد اليومي {0} لا لديه مبلغ غير متبقي.
Labels,التسميات
Last,الأخير
Last 14 Days (Paid vs Pending),آخر 14 يوماً (مدفوع مقابل معلق)
Last 14 Days Activity,نشاط آخر 14 يوماً
Last 14 Days Gross Profit,إجمالي الربح آخر 14 يوماً
Last 14 Days Purchases,المشتريات آخر 14 يوماً
Last 14 Days Tax/Charges,الضرائب/الرسوم آخر 14 يوماً
Last sync:,آخر مزامنة:
Latest entries for current shift,أحدث إدخالات للوردية الحالية
Lead Time,وقت التسليم
Limited,محدود
Live Snapshot,لقطة مباشرة
Load Draft,تحميل المسودة
Loading customers...,جارٍ تحميل العملاء...
Loading database stats...,جارٍ تحميل إحصائيات قاعدة البيانات...
Loading details...,جارٍ تحميل التفاصيل...
Loading drafts...,جارٍ تحميل المسودات...
Loading invoice history...,جارٍ تحميل سجل الفاتورة...
Loading items...,جارٍ تحميل الأصناف...
Loading return invoices...,جارٍ تحميل فواتير الإرجاع...
Loading server CPU/memory usage...,جارٍ تحميل استخدام المعالج/ذاكرة الخادم...
Loading suppliers...,جارٍ تحميل الموردين...
Loading unpaid invoices...,جارٍ تحميل الفواتير غير المدفوعة...
Loading...,جارٍ التحميل...
Location Performance,أداء الموقع
Locations,المواقع
Low,منخفض
Low Stock,مخزون منخفض
Low Stock Alerts,تنبيهات المخزون المنخفض
Low Stock Items,أصناف المخزون المنخفض
Low Stock Threshold,حد المخزون المنخفض
Low Stock Total,إجمالي المخزون المنخفض
Lowest Margin,أقل هامش
Manage and synchronize your offline transactions,إدارة ومزامنة معاملاتك في وضع عدم الاتصال
Margin,الهامش
Medium,متوسط
Method-wise Collections,التحصيلات حسب الطريقة
Minimum Qty,الحد الأدنى للكمية
Missing Dependency,التبعيات المفقودة
Mode of Payment is required,طريقة الدفع مطلوبة
Month,الشهر
Month Δ,شهر Δ
Monthly Profit,الربح الشهري
Monthly Sales,المبيعات الشهرية
Monthly Sales Summary,ملخص المبيعات الشهرية
Most Active Cashiers,أمينة الصندوق الأكثر نشاطاً
Movement Type,نوع الحركة
Movement Type must be Expense or Deposit.,نوع الحركة يجب أن يكون مصروفاً أو إيداعاً.
Movements,الحركات
Multi Currency,متعدد العملات
Multiple Warehouses,مستودعات متعددة
N/A,غ/م
Negative Stock,مخزون سالب
Negative Stock Items,أصناف المخزون السالب
Net,صافي
Net Qty,الكمية الصافية
Net Sales,المبيعات الصافية
Net Value,القيمة الصافية
Never,أبداً
New Item,صنف جديد
New changes are ready to load,التغييرات الجديدة جاهزة للتحميل
New rate,سعر جديد
Next unit of measure,وحدة القياس التالية
No Barcode,لا يوجد باركود
No Print Formats Found,لم يتم العثور على تنسيقات طباعة
No active POS Profile found for current user.,لم يتم العثور على ملف نقاط بيع نشط للمستخدم الحالي.
No allocation made for credit note {0},لم يتم إجراء تخصيص لإشعار دائن {0}
No allocation made for payment {0},لم يتم إجراء تخصيص للدفعة {0}
No allocation was recorded for Credit Note {0}.,لم يتم تسجيل تخصيص لإشعار دائن {0}.
No allocation was recorded for Journal Entry {0}.,لم يتم تسجيل تخصيص للقيد اليومي {0}.
No allocation was recorded for Payment Entry {0}.,لم يتم تسجيل تخصيص لإدخال الدفع {0}.
No allocations were made.,لم يتم إجراء أي تخصيصات.
No attribute data found.,لم يتم العثور على بيانات السمات.
No batches available in {0} for {1}.,لا توجد دفعات متوفرة في {0} لـ {1}.
No branch/location data found.,لم يتم العثور على بيانات الفرع/الموقع.
No brand data found.,لم يتم العثور على بيانات العلامة التجارية.
No cash expected for this shift.,لا يوجد نقد متوقع لهذه الوردية.
No cash mode configured,لا توجد طريقة دفع نقدي مكونة
No cash movement type is allowed for this POS Profile.,لا يُسمح بنوع حركة النقد لملف نقاط البيع هذا.
No cashier-wise discount/void/return activity.,لا يوجد نشاط خصم/إلغاء/إرجاع حسب أمين الصندوق.
No category data found.,لم يتم العثور على بيانات الفئة.
No category profitability data found.,لم يتم العثور على بيانات ربحية الفئة.
No change returned recorded for this shift.,لا يوجد تغيير مردود مسجل لهذه الوردية.
No charge head breakdown found.,لم يتم العثور على تفصيل رئيسي للرسوم.
No customer sales data found.,لم يتم العثور على بيانات مبيعات العميل.
No day-wise discount/void/return trend.,لا يوجد اتجاه خصم/إلغاء/إرجاع يومي.
No day-wise payment data found.,لم يتم العثور على بيانات الدفع اليومية.
No day-wise profitability trend found.,لا يوجد اتجاه ربحية يومي.
No day-wise purchase data found.,لم يتم العثور على بيانات الشراء اليومية.
No day-wise sales trend found.,لا يوجد اتجاه مبيعات يومي.
No day-wise tax/charges trend found.,لا يوجد اتجاه ضرائب/رسوم يومي.
No drafts found,لم يتم العثور على مسودات
No due date,لا يوجد تاريخ استحقاق
No hourly sales trend found for today.,لم يتم العثور على اتجاه مبيعات كل ساعة لهذا اليوم.
No invoice activity found.,لم يتم العثور على نشاط فاتورة.
No invoices recorded for this shift.,لم يتم تسجيل فواتير لهذه الوردية.
No item profitability data found.,لم يتم العثور على بيانات ربحية الصنف.
No item sales data found for this period.,لم يتم العثور على بيانات مبيعات الصنف لهذه الفترة.
No items to invoice. Please ensure there are items on the Purchase Order.,لا توجد أصناف للفوترة. يرجى التأكد من وجود أصناف في أمر الشراء.
No items to receive. Please enter received quantities.,لا توجد أصناف للاستلام. يرجى إدخال الكميات المستلمة.
No items with barcodes to print,لا توجد أصناف باركود للطباعة
No location-wise top item data found.,لم يتم العثور على بيانات أفضل صنف حسب الموقع.
No low stock alerts right now.,لا توجد تنبيهات مخزون منخفض الآن.
No low stock items.,لا توجد أصناف مخزون منخفض.
No month-wise sales trend found.,لم يتم العثور على اتجاه مبيعات شهري.
No negative stock items.,لا توجد أصناف مخزون سالب.
No notifications yet,لا توجد إشعارات حتى الآن
No offline cash movement synced.,لم يتم مزامنة حركة النقد في وضع عدم الاتصال.
No out-of-stock items.,لا توجد أصناف غير متوفرة.
No outstanding credit invoices for this shift.,لا توجد فواتير ائتمان مستحقة لهذه الوردية.
No outstanding invoices available for allocation of credit note {0},لا توجد فواتير مستحقة للتخصيص لإشعار دائن {0}
No outstanding invoices available for allocation of payment {0},لا توجد فواتير مستحقة للتخصيص للدفعة {0}
No outstanding invoices were available to reconcile Credit Note {0}.,لم تكن هناك فواتير مستحقة لمطابقة إشعار دائن {0}.
No outstanding invoices were available to reconcile Journal Entry {0}.,لم تكن هناك فواتير مستحقة لمطابقة القيد اليومي {0}.
No outstanding invoices were available to reconcile Payment Entry {0}.,لم تكن هناك فواتير مستحقة لمطابقة قيد الدفع {0}.
No outstanding invoices were found for {0}.,لم يتم العثور على فواتير مستحقة لـ {0}.
No payment collection data found.,لم يتم العثور على بيانات تحصيل الدفع.
No payment rows available on this invoice.,لا توجد صفوف دفع متوفرة على هذه الفاتورة.
No payments registered for this shift.,لا توجد مدفوعات مسجلة لهذه الوردية.
No pending balances in this period.,لا توجد أرصدة معلقة في هذه الفترة.
No pending offline invoices,لا توجد فواتير معلقة في وضع عدم الاتصال
No profiles found for selected scope. Falling back to current profile failed.,لم يتم العثور على ملفات شخصية للنطاق المحدد. فشل العودة إلى الملف الشخصي الحالي.
No recent customer activity found.,لم يتم العثور على نشاط حديث للعميل.
No recent stock entries found.,لم يتم العثور على إدخالات مخزون حديثة.
No reorder suggestions right now.,لا توجد اقتراحات إعادة طلب الآن.
No repeat customers in this period.,لا يوجد عملاء متكررون في هذه الفترة.
No response from server,لا توجد استجابة من الخادم
No return invoices found,لم يتم العثور على فواتير إرجاع
No return item trend found.,لم يتم العثور على اتجاه صنف الإرجاع.
No returnable items found for this invoice,لم يتم العثور على أصناف قابلة للإرجاع لهذه الفاتورة
No returns were processed in this shift.,لم تتم معالجة إرجاعات في هذه الوردية.
No risk activity found.,لم يتم العثور على نشاط مخاطر.
No sales activity found for this period.,لم يتم العثور على نشاط مبيعات لهذه الفترة.
No slow moving items.,لا توجد أصناف بطيئة الحركة.
No staff sales activity found.,لم يتم العثور على نشاط مبيعات الموظفين.
No stock movement for this period.,لا يوجد حركة مخزون لهذه الفترة.
No submitted cash movements in this shift.,لا توجد حركات نقد مقدم في هذه الوردية.
No supplier purchases found in this month.,لم يتم العثور على مشتريات مورد لهذا الشهر.
No suppliers found for this period.,لم يتم العثور على موردين لهذه الفترة.
No tax head breakdown found.,لم يتم العثور على تفصيل رئيسي الضرائب.
No top items found for this location.,لم يتم العثور على أفضل أصناف لهذا الموقع.
No unallocated payments were available for reconciliation.,لم تكن هناك مدفوعات غير مخصصة للمطابقة.
No unpaid invoices,لا توجد فواتير غير مدفوعة
No valid batches available in {0} for {1}.,لا توجد دفعات صالحة متوفرة في {0} لـ {1}.
No variant data found.,لم يتم العثور على بيانات المتغير.
No week-wise sales trend found.,لم يتم العثور على اتجاه مبيعات أسبوعي.
No.,رقم
Not Set,غير محدد
Notifications,الإشعارات
OK,موافق
Offer Item,صنف العرض
Offer Removed,تم إزالة العرض
Offer UOM cannot be changed,لا يمكن تغيير وحدة قياس العرض
Offer criteria exceeded,تم تجاوز معايير العرض
Offer item unavailable,صنف العرض غير متوفر
Offer?,عرض؟
Offline,غير متصل
Offline invoices status,حالة الفواتير في وضع عدم الاتصال
Offline invoices synced,تمت مزامنة الفواتير في وضع عدم الاتصال
Online,متصل
Only cancelled POS Cash Movement records can be deleted.,يمكن حذف فقط سجلات حركة النقد الملغاة.
Only cancelled cash movements can be deleted.,يمكن حذف فقط حركات النقد الملغاة.
Only submitted cash movements can be cancelled.,يمكن إلغاء فقط حركات النقد المقدمة.
Only submitted or cancelled cash movements can be duplicated.,يمكن تكرار فقط حركات النقد المقدمة أو الملغاة.
Only the shift owner can create cash movement entries.,يمكن فقط لمالك الوردية إنشاء إدخالات حركة النقد.
Open Customer Display,فتح شاشة العميل
Open Payments?,فتح المدفوعات؟
Open balance to collect,الرصيد المفتوح للتحصيل
Open invoices,فواتير مفتوحة
Open this screen from POS Menu -> Open Customer Display.,افتح هذه الشاشة من قائمة نقاط البيع -> فتح شاشة العميل.
OpenCV Off,OpenCV معطل
OpenCV On,OpenCV نشط
OpenCV image processing enabled - Enhanced barcode detection,معالجة صورة OpenCV مفعلة - كشف الباركود المحسن
OpenCV image processing unavailable on this device,معالجة صورة OpenCV غير متوفرة على هذا الجهاز
OpenCV processing disabled,معالجة OpenCV معطلة
Opening Cash,النقد الافتتاحي
Original,الأصلي
Other,أخرى
Out,خارج
Out of Stock,غير متوفر
Out of Stock Items,أصناف غير متوفرة
Outstanding Credit by Currency,الائتمان المستحق بالعملة
Overdue,متأخر
Overpayment Change,تغيير الدفع الزائد
PDF,PDF
POS Awesome Payments is not enabled for this POS Profile,مدفوعات POS Awesome غير مفعلة لهذا الملف الشخصي
POS Awesome credit redemption for Sales Invoice {0},استرداد ائتمان POS Awesome لفاتورة المبيعات {0}
POS Cash Movement,حركة النقد
POS Expense is disabled for this POS Profile.,مصروفات نقاط البيع معطلة لهذا الملف الشخصي.
POS Offer is disable.,العرض معطل.
POS Opening Shift is required,وردية فتح نقاط البيع مطلوبة
POS Opening Shift is required to compute the overview.,وردية فتح نقاط البيع مطلوبة لحساب النظرة العامة.
POS Opening Shift is required.,وردية فتح نقاط البيع مطلوبة.
POS Opening Shift must be submitted and open.,وردية فتح نقاط البيع يجب أن تكون مقدمة ومفتوحة.
POS Opening Shift not found.,لم يتم العثور على وردية فتح نقاط البيع.
POS Opening Shift {0} is not for the same POS Profile,وردية فتح نقاط البيع {0} ليست لنفس الملف الشخصي
POS Opening Shift {0} is not for the same company,وردية فتح نقاط البيع {0} ليست لنفس الشركة
POS Profile company must match active POS Opening Shift company.,شركة ملف نقاط البيع يجب أن تتطابق مع شركة وردية فتح نقاط البيع النشطة.
POS Profile is required,ملف نقاط البيع مطلوب
POS Profile is required to create purchase documents.,ملف نقاط البيع مطلوب لإنشاء وثائق الشراء.
POS Profile is required.,ملف نقاط البيع مطلوب.
POS Profile must match the active POS Opening Shift profile.,ملف نقاط البيع يجب أن يتطابق مع ملف الوردية المفتوحة.
POS Profile must match the selected POS Opening Shift profile.,ملف نقاط البيع يجب أن يتطابق مع ملف وردية الفتح المحددة.
POS Profile {0} does not belong to company {1}.,ملف نقاط البيع {0} لا ينتمي إلى الشركة {1}.
POS Profile {0} does not exist.,ملف نقاط البيع {0} غير موجود.
POS Shift {0} is not open,وردية نقاط البيع {0} ليست مفتوحة
POS lock is not available yet,قفل نقاط البيع غير متوفر بعد
POS profile data is missing or invalid.,بيانات ملف نقاط البيع مفقودة أو غير صالحة.
Packing List,قائمة التعبئة
Page Format,تنسيق الصفحة
Paid change cannot be greater than total change!,لا يمكن أن يكون التغيير المدفوع أكبر من التغيير الإجمالي!
Parent Item,الصنف الأب
Partial,جزئي
Partly Paid,مدفوع جزئياً
Pay,دفع
Payment,الدفع
Payment Entry is already created or payment account is not matched,إدخال الدفع موجود بالفعل أو حساب الدفع غير متطابق
Payment Entry {0} has no unallocated amount remaining.,إدخال الدفع {0} لا لديه مبلغ غير متبقي.
Payment Gateway Account not found,لم يتم العثور على حساب بوابة الدفع
Payment History,سجل الدفع
Payment Method Report,تقرير طريقة الدفع
Payment Progress,تقدم الدفع
Payment Request for {0},طلب الدفع لـ {0}
Payment State,حالة الدفع
Payment Status,حالة الدفع
Payment Summary,ملخص الدفع
Payment amount cannot be less than or equal to 0,مبلغ الدفع لا يمكن أن يكون أقل من أو يساوي 0
Payment {0} is already fully allocated,الدفعة {0} مخصصة بالكامل بالفعل
Payments are not open. Do you want to open payments and submit?,المدفوعات غير مفتوحة. هل تريد فتح المدفوعات والإرسال؟
Payments by Mode of Payment,المدفوعات حسب طريقة الدفع
Peak Hour,ساعة الذروة
Peak Memory:,الذروة:
Peak Server:,الخادم:
Peak:,الذروة:
Pending Amount,المبلغ المعلق
Pending Exposure,التعرض المعلق
Pending Ratio,النسبة المعلقة
Pending Sync,معلق للمزامنة
Per Page,لكل صفحة
Please add at least one item.,يرجى إضافة صنف واحد على الأقل.
Please enter payment amount,يرجى إدخال مبلغ الدفع
Please enter the phone number first,يرجى إدخال رقم الهاتف أولاً
Please fill all required fields,يرجى ملء جميع الحقول المطلوبة
Please select Coupon Code Based POS Offer.,يرجى تحديد عرض نقاط البيع القائم على رمز الكوبون.
Please select a customer before reconciling.,يرجى تحديد عميل قبل المطابقة.
Please select a valid movement type.,يرجى تحديد نوع حركة صالح.
Please select company before reconciling.,يرجى تحديد شركة قبل المطابقة.
Please select the correct POS Offer with the same company.,يرجى تحديد عرض نقاط البيع الصحيح بنفس الشركة.
Please select the customer.,يرجى تحديد العميل.
Please set Default Payable Account in Company {0},يرجى تعيين الحساب الدافع الافتراضي في الشركة {0}
Please set default account for Mode of Payment {0} in company {1},يرجى تعيين الحساب الافتراضي لطريقة الدفع {0} في الشركة {1}
Please try again or enter the item manually.,يرجى المحاولة مرة أخرى أو إدخال الصنف يدوياً.
Popup blocked. Please allow popups.,تم حظر النافذة المنبثقة. يرجى السماح بالنوافذ المنبثقة.
Posting,النشر
Posting and Price List,النشر وقائمة الأسعار
Previous unit of measure,وحدة القياس السابقة
Price List Rate,سعر قائمة الأسعار
Price List is required,قائمة الأسعار مطلوبة
Pricing Rule,قاعدة التسعير
Print,طباعة
Print Format (Invoice),تنسيق الطباعة (الفاتورة)
Print Format (Order),تنسيق الطباعة (الطلب)
Printer,الطابعة
Processed returns impacting the shift totals,المرتجعات المعالجة التي تؤثر على إجماليات الوردية
Procurement,المشتريات
Products,المنتجات
Profile,الملف الشخصي
Profile switching is not available yet,تبديل الملف الشخصي غير متوفر بعد
Profiles,الملفات الشخصية
Profit,الربح
Profit: Invoice Item Estimate,الربح: تقدير صنف الفاتورة
Profit: Stock Ledger (COGS),الربح: سجل المخزون (تكلفة البضاعة المباعة)
Profitability Report,تقرير الربحية
Prorated return discount,خصم الإرجاع النسبي
Purchase Amount,مبلغ الشراء
Purchase Invoices,فواتير الشراء
Purchase Order created,تم إنشاء أمر الشراء
Purchase Order {0} has been saved as Draft. Error: {1},تم حفظ أمر الشراء {0} كمسودة. خطأ: {1}
Purchase order requires at least one item with quantity.,أمر الشراء يتطلب صنف واحد على الأقل بكمية.
Purchase order requires at least one item.,أمر الشراء يتطلب صنف واحد على الأقل.
Purchase orders,أوامر الشراء
QZ Certificate Missing,شهادة QZ مفقودة
QZ Certificate Ready,شهادة QZ جاهزة
QZ Tray Setup,إعداد QZ Tray
QZ Tray certificate not found. Ask an administrator to run Setup QZ Certificate.,لم يتم العثور على شهادة QZ Tray. اطلب من المسؤول تشغيل إعداد شهادة QZ.
QZ Tray connected.,QZ Tray متصل.
QZ Tray is not connected.,QZ Tray غير متصل.
QZ certificate already exists.,شهادة QZ موجودة بالفعل.
QZ certificate generated successfully.,تم إنشاء شهادة QZ بنجاح.
Qty,الكمية
Qualified,مؤهل
Quantity,الكمية
Quantity exceeds available stock,الكمية تتجاوز المخزون المتوفر
Rate adjusted to maximum allowed discount,تم تعديل السعر إلى الحد الأقصى للخصم المسموح
Ready,جاهز
Real-time POS insights for retail operations.,رؤى نقاط البيع في الوقت الفعلي لعمليات التجزئة.
Receive now,استلام الآن
Receive stock,استلام المخزون
Received,تم الاستلام
Recent Movement Entries,إدخالات الحركة الأخيرة
Recently Active Customers,العملاء النشطون مؤخراً
Reconciling Payments,جارٍ مطابقة المدفوعات
Redeemed credit cannot be greater than its total.,لا يمكن أن يكون الائتمان المسترد أكبر من إجماليه.
Redemption and Totals,الاسترداد والإجماليات
Reference,المرجع
Referral Code is required,كود الإحالة مطلوب
Referral Code {0} is disabled,كود الإحالة {0} معطل
Referral Code {0} is not exists,كود الإحالة {0} غير موجود
Refresh,تحديث
Refresh Exchange Rate,تحديث سعر الصرف
Refresh Printers,تحديث الطابعات
Reload Now,إعادة التحميل الآن
Reload to apply the latest changes. Your current session will be refreshed.,إعادة التحميل لتطبيق أحدث التغييرات. سيتم تحديث جلستك الحالية.
Remaining outstanding: {0} across {1} invoice(s).,المستحق المتبقي: {0} عبر {1} فاتورة.
Remarks,ملاحظات
Remarks are required for cash movement in this POS Profile.,ملاحظات مطلوبة لحركة النقد في ملف نقاط البيع هذا.
Remarks are required.,ملاحظات مطلوبة.
Remove Offer,إزالة العرض
Remove item,إزالة الصنف
Reorder / Purchase Suggestions,اقتراحات إعادة الطلب/الشراء
Repeat Customers,العملاء المتكررون
Repeat Rate,معدل التكرار
Request Payment,طلب الدفع
Reset,إعادة تعيين
Reset item name,إعادة تعيين اسم الصنف
Return,إرجاع
Return Amount,مبلغ الإرجاع
Return Count,عدد الإرجاع
Return Valid Until,الإرجاع صالح حتى
Return count,عدد الإرجاع
Return window passed,انتهت فترة الإرجاع
Returns,المرتجعات
Returns / Voids / Discounts,المرتجعات/الإلغاءات/الخصومات
Returns are only allowed until {0},السماح بالإرجاع فقط حتى {0}
Returns by Currency,المرتجعات حسب العملة
Revenue,الإيرادات
Review shift totals before submitting the closing entry,مراجعة إجماليات الوردية قبل إرسال الإقفال
Round Off,تقريب
Rows:,صفوف:
Rule,القاعدة
Sale,بيع
Sales,المبيعات
Sales Person and Print,مندوب المبيعات والطباعة
Sales Trend Report,تقرير اتجاه المبيعات
Sales processed,المبيعات المعالجة
Save,حفظ
Save Settings,حفظ الإعدادات
Saved draft invoices will appear here.,ستظهر فواتير المسودة المحفوظة هنا.
Scale barcode detected. Quantity here is the number of labels to print.,تم اكتشاف باركود الميزان. الكمية هنا هي عدد الملصقات للطباعة.
Scan Error,خطأ المسح
Scanned Code:,الكود الممسوح:
Scanning items,جارٍ مسح الأصناف
Scope,النطاق
